"index";"Company";"TypeName";"Inches";"screen_size";"resolution_width";"resolution_height";"touchscreen";"IPS_Panel";"cpu_brand";"cpu_name";"cpu_speed";"Ram";"memory_type";"primary_storage";"secondary_storage";"gpu_brand";"gpu_name";"OpSys";"Weight";"price";"ppi"
327;"Asus";"Ultrabook";15.6;"medium";1080;1920;0;0;"Intel";"Core i7";2.7;8;"SSD";256;0;"Nvidia";" GeForce 940MX";"windows";"1.7";55939;141
328;"HP";"Ultrabook";12.5;"small";1080;1920;0;0;"Intel";"Core i7";2.7;8;"SSD";256;0;"Intel";" HD Graphics 620";"windows";"1.26";71129;176
329;"Dell";"Notebook";15.6;"medium";2160;3840;1;0;"Intel";"Core i7";2.8;32;"SSD";1024;0;"Nvidia";" GeForce GTX 1050";"windows";"2.06";140606;282
330;"MSI";"Gaming";17.3;"large";1080;1920;0;0;"Intel";"Core i7";2.8;8;"Hybrid";256;1024;"Nvidia";" GeForce GTX 1050 Ti";"windows";"2.7";63883;127
331;"Toshiba";"Notebook";15.6;"medium";1080;1920;0;1;"Intel";"Core i5";2.5;8;"SSD";256;0;"Intel";" HD Graphics 620";"windows";"2.0";50243;141
332;"Asus";"Notebook";14.0;"medium";1080;1920;0;0;"Intel";"Core i7";2.7;8;"Hybrid";256;1024;"Intel";" HD Graphics 620";"windows";"2";71076;157
333;"Lenovo";"Notebook";15.6;"medium";1080;1920;0;0;"Intel";"Core i3";2.0;4;"HDD";1024;0;"Intel";" HD Graphics 520";"windows";"1.85";23923;141
334;"Asus";"Gaming";15.6;"medium";1080;1920;0;0;"Intel";"Core i7";2.8;8;"SSD";256;0;"Nvidia";" GeForce GTX 1050";"windows";"2.5";53227;141
335;"HP";"Notebook";14.0;"medium";1080;1920;0;0;"Intel";"Core i5";2.6;8;"SSD";256;0;"Intel";" HD Graphics 620";"windows";"1.48";67559;157
337;"HP";"Notebook";15.6;"medium";1080;1920;0;0;"Intel";"Core i5";2.5;8;"SSD";256;0;"Intel";" HD Graphics 620";"windows";"1.84";60952;141
338;"Asus";"Notebook";15.6;"medium";768;1366;0;0;"Intel";"Celeron Dual";1.1;4;"HDD";1024;0;"Intel";" HD Graphics 500";"linux";"2";14651;100
339;"Dell";"Notebook";15.6;"medium";1080;1920;0;0;"Intel";"Core i5";1.6;8;"SSD";256;0;"Nvidia";" GeForce 940MX";"windows";"2";60886;141
340;"Dell";"Notebook";15.6;"medium";768;1366;0;0;"Intel";"Celeron Dual";1.6;4;"HDD";500;0;"Intel";" HD Graphics";"linux";"2.2";14647;100
341;"Lenovo";"Notebook";15.6;"medium";1080;1920;0;0;"AMD";"A12-Series 9720P";3.6;12;"HDD";2048;0;"AMD";" Radeon 530";"windows";"2.2";47899;141
342;"HP";"Notebook";15.6;"medium";1080;1920;0;1;"Intel";"Core i3";2.4;8;"HDD";1024;0;"Nvidia";" GeForce 930MX ";"windows";"2.1";38148;141
343;"Lenovo";"2 in 1 Convertible";13.9;"small";2160;3840;1;1;"Intel";"Core i7";1.8;16;"SSD";512;0;"Intel";" UHD Graphics 620";"windows";"1.4";111835;317
344;"Dell";"Ultrabook";13.3;"small";1080;1920;0;0;"Intel";"Core i7";1.8;8;"SSD";256;0;"Intel";" UHD Graphics 620";"windows";"1.2";84129;166
345;"Lenovo";"Gaming";15.6;"medium";1080;1920;0;1;"Intel";"Core i7";2.8;16;"Hybrid";256;2048;"Nvidia";" GeForce GTX 1050 Ti";"windows";"2.4";60153;141
346;"HP";"Notebook";14.0;"medium";768;1366;0;0;"Intel";"Celeron Dual";1.6;2;"Flash Storage";32;0;"Intel";" HD Graphics 400";"windows";"1.44";14865;112
347;"Dell";"Ultrabook";15.6;"medium";1080;1920;0;0;"Intel";"Core i7";1.9;16;"SSD";512;256;"Intel";" UHD Graphics 620";"windows";"1.88";85672;141
348;"Asus";"2 in 1 Convertible";11.6;"small";768;1366;1;0;"Intel";"Celeron Dual";1.1;4;"Flash Storage";32;0;"Intel";" HD Graphics 500";"windows";"1.5";19980;135
349;"Dell";"Ultrabook";15.6;"medium";1080;1920;0;0;"Intel";"Core i5";1.6;8;"HDD";1024;0;"AMD";" Radeon 530";"windows";"0.0002";35325;141
351;"HP";"Notebook";15.6;"medium";1080;1920;0;0;"Intel";"Core i7";2.7;8;"SSD";256;0;"Intel";" HD Graphics 620";"windows";"1.84";69477;141
352;"MSI";"Gaming";17.3;"large";1080;1920;0;0;"Intel";"Core i7";2.8;8;"Hybrid";128;1024;"Nvidia";" GeForce GTX 1060";"windows";"2.7";75072;127
353;"HP";"Workstation";15.6;"medium";1080;1920;0;0;"Intel";"Core i7";2.8;8;"SSD";256;0;"Nvidia";" Quadro M1200";"windows";"2.6";92615;141
354;"Toshiba";"Notebook";15.6;"medium";1080;1920;0;1;"Intel";"Core i7";2.5;16;"SSD";512;0;"Nvidia";" GeForce 930M";"windows";"2.4";74752;141
355;"Dell";"Notebook";15.6;"medium";1080;1920;0;0;"Intel";"Core i7";1.8;8;"Hybrid";128;2048;"AMD";" Radeon 530";"windows";"2.02";51730;141
356;"Lenovo";"Notebook";15.6;"medium";768;1366;0;0;"Intel";"Celeron Dual";1.1;4;"HDD";1024;0;"Intel";" HD Graphics 500";"N/A";"2.2";17156;100
357;"Dell";"Gaming";15.6;"medium";1080;1920;0;0;"Intel";"Core i5";2.5;8;"HDD";1024;0;"Nvidia";" GeForce GTX 1050";"windows";"2.65";53227;141
358;"Dell";"Notebook";15.6;"medium";768;1366;1;0;"Intel";"Core i5";2.5;8;"HDD";2048;0;"Intel";" HD Graphics 620";"windows";"2.36";29697;100
359;"Dell";"Notebook";14.0;"medium";1080;1920;0;0;"Intel";"Core i5";2.6;8;"SSD";256;0;"Intel";" HD Graphics 620";"windows";"1.36";76031;157
360;"HP";"Notebook";15.6;"medium";768;1366;0;0;"Intel";"Core i3";2.0;4;"HDD";500;0;"Intel";" HD Graphics 520";"windows";"1.86";23390;100
361;"Asus";"Notebook";14.0;"medium";1080;1920;0;0;"Intel";"Core i5";2.5;8;"SSD";256;0;"Intel";" HD Graphics 620";"windows";"2";50350;157
362;"Lenovo";"Notebook";17.3;"large";900;1600;0;0;"Intel";"Core i5";2.5;6;"Hybrid";128;1024;"Nvidia";" GeForce GTX 940MX";"windows";"2.8";38308;106
363;"HP";"Notebook";15.6;"medium";1080;1920;0;0;"Intel";"Core i5";2.5;8;"HDD";1024;0;"Intel";" HD Graphics 620";"windows";"1.86";34046;141
364;"Lenovo";"Notebook";15.6;"medium";768;1366;0;0;"Intel";"Core i3";2.0;8;"SSD";256;0;"Nvidia";" GeForce 920MX ";"N/A";"2.2";26587;100
365;"HP";"Notebook";15.6;"medium";768;1366;0;0;"Intel";"Pentium Quad";1.6;8;"HDD";2048;0;"Intel";" HD Graphics 405";"windows";"2.04";20726;100
366;"Dell";"Notebook";17.3;"large";1080;1920;0;0;"Intel";"Core i5";1.6;8;"Hybrid";128;1024;"AMD";" Radeon 530";"windows";"2.8";57809;127
367;"Lenovo";"Gaming";15.6;"medium";1080;1920;0;1;"Intel";"Core i5";2.5;8;"Hybrid";128;1024;"Nvidia";" GeForce GTX 1050";"N/A";"2.4";43104;141
368;"Dell";"Notebook";15.6;"medium";1080;1920;0;0;"Intel";"Core i7";2.7;8;"SSD";256;0;"AMD";" Radeon R7 M445";"windows";"2.33";47899;141
369;"HP";"Ultrabook";14.0;"medium";1080;1920;0;1;"Intel";"Core i7";2.7;8;"SSD";256;0;"Intel";" HD Graphics 620";"windows";"1.36";93240;157
370;"Asus";"2 in 1 Convertible";15.6;"medium";1080;1920;1;0;"Intel";"Core i7";2.7;12;"Hybrid";512;2048;"Nvidia";" GeForce GT 940MX";"windows";"2.26";58555;141
371;"Acer";"Notebook";15.6;"medium";768;1366;0;0;"AMD";"A9-Series 9420";3.0;4;"SSD";128;0;"AMD";" Radeon R5";"windows";"2.1";22697;100
372;"Asus";"Gaming";17.3;"large";1080;1920;0;1;"AMD";"Ryzen 1700";3.0;16;"Hybrid";256;1024;"AMD";" Radeon RX 580";"windows";"3.25";117163;127
373;"Lenovo";"Notebook";17.3;"large";900;1600;0;0;"AMD";"A8-Series 7410";2.2;4;"SSD";128;0;"AMD";" Radeon R5";"windows";"2.6";26054;106
374;"Dell";"2 in 1 Convertible";13.3;"small";1080;1920;1;0;"Intel";"Core i7";1.8;8;"SSD";256;0;"Intel";" UHD Graphics 620";"windows";"1.62";46301;166
375;"HP";"Notebook";15.6;"medium";1080;1920;0;0;"AMD";"A9-Series 9420";3.0;4;"SSD";256;0;"AMD";" Radeon R5";"windows";"1.91";26053;141
376;"Lenovo";"Netbook";11.6;"small";768;1366;0;1;"Intel";"Celeron Quad";1.1;4;"SSD";128;0;"Intel";" HD Graphics 500";"windows";"1.59";29464;135
377;"Dell";"Notebook";15.6;"medium";768;1366;0;0;"Intel";"Celeron Dual";1.6;4;"HDD";500;0;"Intel";" HD Graphics 400";"windows";"1.8";16464;100
378;"Asus";"Notebook";14.0;"medium";768;1366;0;0;"Intel";"Celeron Dual";1.1;4;"Flash Storage";32;0;"Intel";" HD Graphics 500";"windows";"1.5";15238;112
379;"Acer";"Notebook";15.6;"medium";1080;1920;0;0;"Intel";"Core i7";2.8;8;"HDD";1024;0;"Nvidia";" GeForce GTX 1050";"linux";"2.4";45075;141
380;"HP";"Gaming";17.3;"large";1080;1920;0;1;"Intel";"Core i7";2.8;8;"Hybrid";128;1024;"Nvidia";" GeForce GTX 1050";"windows";"3.35";63456;127
381;"Lenovo";"Notebook";15.6;"medium";1080;1920;0;0;"Intel";"Core i3";2.0;4;"SSD";128;0;"Intel";" HD Graphics 520";"N/A";"1.85";21498;141
382;"Asus";"Gaming";15.6;"medium";1080;1920;0;1;"Intel";"Core i7";2.8;8;"Hybrid";128;1024;"Nvidia";" GeForce GTX 1060";"windows";"2.3";88178;141
383;"Lenovo";"Notebook";14.0;"medium";1080;1920;0;1;"Intel";"Core i5";2.5;8;"SSD";256;0;"Nvidia";" GeForce 940MX";"windows";"1.5";58555;157
384;"Asus";"Ultrabook";13.3;"small";1080;1920;1;0;"Intel";"Core i7";2.7;16;"SSD";512;0;"Intel";" HD Graphics 620";"windows";"1.1";93181;166
385;"Lenovo";"Ultrabook";14.0;"medium";1440;2560;0;1;"Intel";"Core i7";2.7;8;"SSD";512;0;"Intel";" HD Graphics 620";"windows";"1.13";121585;210
386;"Lenovo";"Notebook";13.3;"small";1080;1920;0;1;"Intel";"Core i3";2.4;4;"SSD";128;0;"Intel";" HD Graphics 620";"windows";"1.5";29251;166
387;"Dell";"Workstation";15.6;"medium";1080;1920;0;0;"Intel";"Core i5";2.6;8;"HDD";500;0;"AMD";" FirePro W5130M";"windows";"2.23";72940;141
388;"Dell";"Workstation";15.6;"medium";1080;1920;0;1;"Intel";"Core i7";2.7;8;"SSD";256;0;"Nvidia";" Quadro M1200";"windows";"2";113753;141
389;"Lenovo";"2 in 1 Convertible";14.0;"medium";1440;2560;1;0;"Intel";"Core i7";2.7;16;"SSD";512;0;"Intel";" HD Graphics 620";"windows";"1.42";133680;210
390;"Asus";"Gaming";17.3;"large";1080;1920;0;0;"Intel";"Core i7";2.8;8;"HDD";1024;0;"Nvidia";" GeForce GTX 1050";"windows";"3";55358;127
391;"Asus";"Gaming";17.3;"large";1080;1920;0;0;"Intel";"Core i7";2.8;16;"Hybrid";256;1024;"Nvidia";" GeForce GTX 1050 Ti";"windows";"3";84768;127
392;"Acer";"Notebook";15.6;"medium";768;1366;0;1;"Intel";"Core i5";1.6;12;"HDD";1024;0;"Nvidia";" GeForce MX130";"windows";"2.2";36976;100
393;"MSI";"Gaming";17.3;"large";1080;1920;0;0;"Intel";"Core i7";2.8;8;"SSD";256;0;"Nvidia";" GeForce GTX 1050 Ti";"windows";"2.7";71875;127
394;"Dell";"Notebook";15.6;"medium";1080;1920;0;0;"Intel";"Core i7";2.7;8;"SSD";256;0;"AMD";" Radeon R7 M445";"linux";"2.33";41498;141
395;"HP";"Ultrabook";15.6;"medium";1080;1920;0;0;"AMD";"A9-Series 9420";3.0;4;"SSD";256;0;"AMD";" Radeon 520";"windows";"1.91";26587;141
396;"Lenovo";"Notebook";15.6;"medium";1080;1920;0;1;"Intel";"Core i7";1.8;8;"SSD";256;0;"AMD";" Radeon RX 550";"windows";"2.1";65511;141
397;"Lenovo";"Notebook";14.0;"medium";1080;1920;0;1;"Intel";"Core i5";2.5;8;"SSD";256;0;"Intel";" HD Graphics 620";"windows";"1.9";49977;157
398;"Dell";"Workstation";15.6;"medium";2160;3840;1;0;"Intel";"Core i7";2.8;8;"SSD";256;0;"Nvidia";" Quadro M1200";"windows";"1.78";144495;282
399;"Lenovo";"Ultrabook";14.0;"medium";1440;2560;0;1;"Intel";"Core i7";2.7;16;"SSD";1024;0;"Intel";" HD Graphics 620";"windows";"1.13";139860;210
400;"Lenovo";"Notebook";15.6;"medium";768;1366;0;0;"Intel";"Celeron Dual";1.1;4;"HDD";1024;0;"Intel";" HD Graphics 500";"windows";"2.2";16304;100
401;"Asus";"Gaming";17.3;"large";1080;1920;0;0;"Intel";"Core i7";2.8;16;"Hybrid";256;1024;"Nvidia";" GeForce GTX 1050";"windows";"2.9";81465;127
402;"Lenovo";"Notebook";25.6;"large";1080;1920;0;1;"Intel";"Core i5";1.6;8;"Hybrid";256;1024;"AMD";" Radeon RX 550";"windows";"2.1";60979;86
403;"Acer";"Notebook";15.6;"medium";1080;1920;0;0;"Intel";"Core i7";2.8;8;"SSD";256;0;"Nvidia";" GeForce GTX 1050";"linux";"2.5";46833;141
404;"MSI";"Gaming";17.3;"large";1080;1920;0;0;"Intel";"Core i7";2.8;16;"Hybrid";256;1024;"Nvidia";" GeForce GTX 1070";"windows";"2.8";119827;127
405;"Asus";"Ultrabook";14.0;"medium";1080;1920;0;0;"Intel";"Core i7";2.7;8;"SSD";512;0;"Intel";" HD Graphics 620";"windows";"1.10";99793;157
406;"Toshiba";"Ultrabook";13.3;"small";1080;1920;0;0;"Intel";"Core i7";2.5;16;"SSD";512;0;"Intel";" HD Graphics 520";"windows";"1.2";93080;166
407;"Dell";"Ultrabook";14.0;"medium";1080;1920;0;0;"Intel";"Core i7";2.8;8;"SSD";512;0;"Intel";" HD Graphics";"windows";"1.36";89510;157
408;"Lenovo";"Notebook";35.6;"large";1080;1920;0;0;"Intel";"Core i3";2.0;4;"HDD";500;0;"Intel";" HD Graphics 520";"windows";"2.2";21792;62
409;"Lenovo";"Notebook";11.6;"small";768;1366;0;0;"Intel";"Celeron Dual";1.1;2;"Flash Storage";32;0;"Intel";" HD Graphics 500";"windows";"1.15";16221;135
410;"Lenovo";"Workstation";15.6;"medium";1080;1920;0;0;"Intel";"Core i7";2.8;8;"SSD";512;0;"Nvidia";" Quadro M1200";"windows";"2.67";102564;141
411;"Lenovo";"Ultrabook";14.0;"medium";1440;2560;0;1;"Intel";"Core i7";2.8;8;"SSD";512;0;"Nvidia";" GeForce GT 940MX";"windows";"1.7";103523;210
412;"HP";"Notebook";15.6;"medium";1080;1920;0;0;"Intel";"Core i3";2.0;4;"HDD";1024;0;"AMD";" Radeon 520";"windows";"2.1";24988;141
413;"Acer";"2 in 1 Convertible";13.3;"small";1080;1920;1;1;"Intel";"Core i7";2.5;8;"SSD";256;0;"Intel";" HD Graphics 520";"windows";"1.6";42038;166
414;"Asus";"2 in 1 Convertible";13.3;"small";1080;1920;1;1;"Intel";"Core i5";2.5;8;"SSD";256;0;"Intel";" HD Graphics 620";"windows";"1.27";49444;166
415;"Dell";"Notebook";15.6;"medium";1080;1920;0;0;"Intel";"Core i5";2.5;4;"SSD";256;0;"AMD";" Radeon R5 M430";"linux";"2.3";31909;141
416;"Dell";"Notebook";13.3;"small";768;1366;0;0;"Intel";"Core i3";2.0;4;"SSD";128;0;"Intel";" HD Graphics 520";"windows";"1.65";36710;118
417;"HP";"Ultrabook";14.0;"medium";1080;1920;0;0;"Intel";"Core i7";2.5;8;"SSD";256;0;"Intel";" HD Graphics 520";"windows";"1.43";79920;157
418;"Dell";"Notebook";15.6;"medium";768;1366;0;0;"Intel";"Core i5";2.5;8;"HDD";1024;0;"Intel";" HD Graphics 620";"windows";"2.14";28769;100
419;"Lenovo";"Ultrabook";14.0;"medium";1080;1920;0;1;"Intel";"Core i7";1.8;8;"SSD";256;0;"AMD";" Radeon RX 550";"windows";"1.75";64755;157
420;"Lenovo";"2 in 1 Convertible";15.6;"medium";2160;3840;1;1;"Intel";"Core i7";2.8;16;"SSD";512;0;"Nvidia";" GeForce GTX 1050";"windows";"2";101179;282
421;"Chuwi";"Notebook";12.3;"small";1824;2736;0;1;"Intel";"Celeron Quad";1.1;6;"Flash Storage";64;0;"Intel";" HD Graphics 500";"windows";"1.4";23923;267
422;"HP";"Notebook";15.6;"medium";1080;1920;0;0;"Intel";"Core i7";2.9;8;"SSD";256;0;"Intel";" HD Graphics 630";"windows";"2.31";76031;141
423;"Asus";"Notebook";35.6;"large";1080;1920;0;0;"Intel";"Core i3";2.4;8;"HDD";1024;0;"Nvidia";" GeForce 940MX";"linux";"2.3";31808;62
424;"Dell";"Gaming";27.3;"large";1440;2560;0;1;"Intel";"Core i7";2.9;16;"Hybrid";256;1024;"Nvidia";" GeForce GTX 1070";"windows";"4.42";149131;108
425;"Dell";"Gaming";15.6;"medium";1080;1920;0;1;"Intel";"Core i7";2.8;8;"Hybrid";128;1024;"Nvidia";" GeForce GTX 1050 Ti";"windows";"2.62";61752;141
426;"Dell";"Notebook";15.6;"medium";1080;1920;0;0;"Intel";"Core i7";1.8;8;"Hybrid";256;2048;"AMD";" Radeon 530";"windows";"2.02";60867;141
427;"Dell";"Ultrabook";14.0;"medium";1080;1920;0;0;"Intel";"Core i7";2.8;8;"SSD";256;0;"Intel";" HD Graphics 620";"linux";"1.6";58555;157
428;"HP";"Gaming";17.3;"large";1080;1920;0;0;"Intel";"Core i7";2.8;12;"Hybrid";256;1024;"Nvidia";" GeForce GTX 1070";"windows";"3.35";106507;127
429;"Mediacom";"2 in 1 Convertible";11.6;"small";1080;1920;1;1;"Intel";"Celeron Dual";1.1;4;"SSD";32;0;"Intel";" HD Graphics 500";"windows";"1.16";15931;190
430;"Samsung";"Netbook";11.6;"small";768;1366;0;0;"Intel";"Celeron Dual";1.6;4;"Flash Storage";16;0;"Intel";" HD Graphics 400";"other";"1.15";14332;135
431;"Lenovo";"Notebook";13.3;"small";1080;1920;0;1;"Intel";"Core i7";2.7;8;"SSD";256;0;"Intel";" HD Graphics 620";"windows";"1.4";53813;166
432;"Lenovo";"Notebook";14.0;"medium";1080;1920;0;1;"Intel";"Core i3";2.7;4;"SSD";128;0;"Intel";" HD Graphics 620";"windows";"1.7";31915;157
433;"Lenovo";"Workstation";15.6;"medium";2160;3840;0;1;"Intel";"Core i7";2.8;16;"SSD";512;0;"Nvidia";" GeForce 940MX";"windows";"2.3";130270;282
434;"Lenovo";"Notebook";15.6;"medium";1080;1920;0;0;"Intel";"Core i7";2.9;16;"SSD";512;0;"Nvidia";" Quadro M2200M";"windows";"2.5";130483;141
435;"Asus";"Gaming";17.3;"large";1080;1920;0;0;"AMD";"Ryzen 1600";3.2;8;"Hybrid";256;1024;"AMD";" Radeon RX 580";"windows";"3.2";90310;127
436;"HP";"Notebook";15.6;"medium";768;1366;0;0;"Intel";"Celeron Dual";1.6;4;"HDD";500;0;"Intel";" HD Graphics 400";"windows";"2.1";18488;100
437;"Google";"Ultrabook";12.3;"small";1600;2400;1;0;"Intel";"Core i7";1.3;16;"SSD";512;0;"Intel";" HD Graphics 615";"other";"1.1";117163;235
438;"Lenovo";"Ultrabook";24.0;"large";1440;2560;0;0;"Intel";"Core i7";2.7;24;"SSD";512;0;"Intel";" HD Graphics 620";"windows";"1.32";126913;122
439;"Asus";"Notebook";15.6;"medium";1080;1920;0;0;"Intel";"Core i5";2.5;4;"SSD";256;0;"Intel";" HD Graphics 620";"linux";"2";29784;141
440;"Lenovo";"Notebook";17.3;"large";900;1600;0;0;"AMD";"A6-Series 9220";2.5;8;"HDD";1024;0;"AMD";" Radeon R4";"windows";"2.8";27652;106
441;"Dell";"Notebook";15.6;"medium";1080;1920;0;0;"Intel";"Core i5";1.6;4;"SSD";256;0;"AMD";" Radeon 530";"windows";"2.2";39907;141
442;"Lenovo";"Ultrabook";12.5;"small";1080;1920;0;1;"Intel";"Core i5";2.5;8;"SSD";256;0;"Intel";" HD Graphics 620";"windows";"1.36";76137;176
443;"Lenovo";"Notebook";15.6;"medium";1080;1920;0;0;"Intel";"Pentium Quad";1.1;4;"SSD";128;0;"Intel";" HD Graphics 505";"windows";"2.2";18595;141
444;"HP";"Gaming";15.6;"medium";1080;1920;0;1;"Intel";"Core i7";2.8;8;"Hybrid";128;1024;"Nvidia";" GeForce GTX 1050";"windows";"2.2";58555;141
445;"Dell";"Notebook";14.0;"medium";1080;1920;0;0;"Intel";"Core i5";2.8;8;"SSD";256;0;"Nvidia";" GeForce 930MX";"windows";"1.64";62817;157
446;"Acer";"Notebook";15.6;"medium";768;1366;0;0;"Intel";"Core i5";2.5;4;"HDD";500;0;"Intel";" HD Graphics 620";"linux";"2.4";23539;100
447;"Dell";"Workstation";15.6;"medium";1080;1920;0;0;"Intel";"Xeon E3-1505M";3.0;8;"HDD";64;1024;"Nvidia";" Quadro M620";"windows";"2.23";106187;141
448;"MSI";"Gaming";15.6;"medium";1080;1920;0;0;"Intel";"Core i5";2.5;8;"SSD";256;0;"Nvidia";" GeForce GTX 1050";"windows";"2.2";54758;141
449;"Microsoft";"Ultrabook";13.5;"small";1504;2256;1;0;"Intel";"Core i7";2.5;16;"SSD";512;0;"Intel";" Iris Plus Graphics 640";"windows";"1.25";137942;201
450;"HP";"Notebook";15.6;"medium";768;1366;0;0;"Intel";"Core i5";2.5;8;"SSD";128;0;"Intel";" HD Graphics 620";"windows";"1.91";31382;100
451;"Dell";"Workstation";15.6;"medium";1080;1920;0;1;"Intel";"Core i7";2.7;16;"SSD";256;0;"Nvidia";" Quadro M620";"windows";"2.17";105228;141
452;"HP";"Workstation";15.6;"medium";1080;1920;0;1;"Intel";"Core i7";2.9;8;"SSD";512;0;"Intel";" HD Graphics 620";"windows";"2.31";81732;141
453;"Lenovo";"Notebook";14.0;"medium";1080;1920;0;0;"Intel";"Core i5";2.5;8;"SSD";256;0;"Intel";" HD Graphics 620";"windows";"1.65";71662;157
454;"Dell";"Notebook";15.6;"medium";1080;1920;0;0;"Intel";"Core i7";1.8;8;"Hybrid";128;1024;"AMD";" Radeon 530";"windows";"2.36";52161;141
455;"Dell";"2 in 1 Convertible";11.6;"small";768;1366;1;0;"Intel";"Pentium Quad";1.6;4;"HDD";500;0;"Intel";" HD Graphics 405";"windows";"1.47";25521;135
456;"Dell";"Notebook";17.3;"large";1080;1920;0;1;"Intel";"Core i7";2.7;8;"HDD";1024;0;"Nvidia";" GeForce GTX 1060";"windows";"4.42";109011;127
457;"Microsoft";"Ultrabook";13.5;"small";1504;2256;1;0;"Intel";"Core M";2.2;4;"SSD";128;0;"Intel";" HD Graphics 615";"windows";"1.252";52694;201
458;"Microsoft";"Ultrabook";33.5;"large";1504;2256;1;0;"Intel";"Core i7";2.5;8;"SSD";256;0;"Intel";" Iris Plus Graphics 640";"windows";"1.25";95851;81
459;"HP";"Notebook";17.3;"large";900;1600;0;0;"Intel";"Core i3";2.0;8;"SSD";256;0;"Intel";" HD Graphics 520";"windows";"2.5";34094;106
460;"Acer";"Notebook";15.6;"medium";1080;1920;0;0;"Intel";"Core i3";2.0;4;"HDD";1024;0;"Nvidia";" GeForce 940MX";"windows";"2.23";28984;141
461;"Acer";"Netbook";11.6;"small";768;1366;0;0;"Intel";"Celeron Dual";1.6;4;"SSD";128;0;"Intel";" HD Graphics 400";"windows";"1.4";23177;135
462;"Asus";"Notebook";15.6;"medium";1080;1920;0;0;"Intel";"Core i5";2.5;8;"HDD";1024;0;"Intel";" HD Graphics 620";"windows";"2.37";39907;141
463;"Lenovo";"Notebook";14.0;"medium";1080;1920;0;1;"Intel";"Core i7";2.7;8;"SSD";512;0;"AMD";" Radeon R7 M460";"N/A";"1.5";42571;157
464;"Lenovo";"Notebook";15.6;"medium";1080;1920;0;0;"Intel";"Core i7";2.9;8;"SSD";256;0;"Nvidia";" Quadro M2200M";"windows";"2.67";111355;141
465;"Asus";"Notebook";15.6;"medium";768;1366;0;0;"Intel";"Pentium Quad";1.1;4;"HDD";500;0;"Intel";" HD Graphics 500";"windows";"2";16197;100
466;"Acer";"Notebook";15.6;"medium";768;1366;0;0;"Intel";"Core i3";2.0;4;"HDD";500;0;"Nvidia";" GeForce GTX 940MX";"windows";"2.2";24988;100
467;"Dell";"Notebook";15.6;"medium";1080;1920;0;0;"Intel";"Core i5";1.6;8;"HDD";2048;0;"AMD";" Radeon 530";"windows";"2.02";40440;141
468;"HP";"Gaming";17.3;"large";1080;1920;0;1;"Intel";"Core i7";2.8;12;"HDD";1024;0;"Nvidia";" GeForce GTX 1060";"windows";"3.78";90523;127
469;"Lenovo";"Ultrabook";14.0;"medium";1440;2560;0;1;"Intel";"Core i7";2.6;12;"SSD";256;0;"Intel";" HD Graphics 520";"windows";"1.4";98994;210
470;"HP";"2 in 1 Convertible";13.3;"small";2160;3840;1;1;"Intel";"Core i7";1.8;8;"SSD";512;0;"Intel";" UHD Graphics 620";"windows";"1.29";106507;331
471;"HP";"Notebook";15.6;"medium";1080;1920;0;0;"Intel";"Core i5";2.5;8;"HDD";500;0;"AMD";" FirePro W4190M ";"windows";"1.9";61485;141
472;"Google";"Ultrabook";12.3;"small";1600;2400;1;0;"Intel";"Core i5";1.2;8;"SSD";128;0;"Intel";" HD Graphics 615";"other";"1.1";67932;235
473;"Dell";"Ultrabook";13.3;"small";1080;1920;1;0;"Intel";"Core i5";1.6;8;"SSD";256;0;"Intel";" UHD Graphics 620";"windows";"1.42";98134;166
474;"Asus";"Notebook";15.6;"medium";2160;3840;0;1;"Intel";"Core i7";2.6;12;"Hybrid";128;1024;"Intel";" HD Graphics 530";"windows";"2.06";69211;282
475;"Dell";"Notebook";14.0;"medium";768;1366;0;0;"Intel";"Core i3";2.3;8;"SSD";128;0;"Intel";" HD Graphics 520";"windows";"1.79";39427;112
477;"Lenovo";"Notebook";14.0;"medium";1080;1920;0;0;"Intel";"Core i5";2.5;8;"SSD";180;0;"Intel";" HD Graphics 620";"windows";"1.7";72674;157
479;"Toshiba";"Notebook";13.3;"small";1080;1920;0;1;"Intel";"Core i5";2.5;8;"SSD";256;0;"Intel";" HD Graphics 620";"windows";"1.05";89084;166
480;"Dell";"Notebook";15.6;"medium";1080;1920;0;1;"Intel";"Core i7";1.8;8;"SSD";512;0;"Nvidia";" GeForce 940MX";"windows";"2.16";67239;141
481;"Dell";"Notebook";15.6;"medium";768;1366;0;0;"Intel";"Core i3";2.4;4;"HDD";1024;0;"Intel";" HD Graphics 620";"windows";"2.18";31254;100
482;"HP";"Notebook";13.3;"small";1080;1920;0;1;"Intel";"Core i5";1.6;4;"SSD";128;0;"Intel";" UHD Graphics 620";"windows";"1.49";38681;166
483;"Chuwi";"Notebook";15.6;"medium";1080;1920;0;0;"Intel";"Atom x5-Z8350";1.4;4;"Flash Storage";64;0;"Intel";" HD Graphics";"windows";"1.89";13261;141
484;"Lenovo";"Notebook";15.6;"medium";768;1366;0;0;"Intel";"Core i3";2.0;4;"SSD";128;0;"Intel";" HD Graphics 520";"windows";"2.3";30103;100
485;"Lenovo";"Notebook";14.0;"medium";1080;1920;0;1;"Intel";"Core i5";1.6;8;"SSD";256;0;"Intel";" UHD Graphics 620";"windows";"1.75";55891;157
